Item,Smu1.Time[1][1],,V1,V2,I1,I2,
1,0,,-2,0,-2,7729925022868E-09,
2,0,43255552,-1,96,3,57829321728786E-10,
3,0,86507752,-1,92,1,65371716320806E-10,
4,1,29761042,-1,88,4,88284968014341E-11,
5,1,73015632,-1,84,3,09228198602796E-11,
6,2,1626832,-1,8,-4,28585167355777E-10,
7,2,59521926,-1,76,-1,28665078591439E-10,
8,3,02776568,-1,72,-5,34754462933051E-11,
9,3,46030216,-1,68,-4,58584281659569E-11,
10,3,89283062,-1,64,-5,89608362133731E-11,
11,4,32536686,-1,6,-6,07229821980582E-11,
12,4,75790932,-1,56,-5,04911668031127E-11,
13,5,19044532,-1,52,-6,67057520331582E-11,
14,5,62297536,-1,48,-6,43609610051499E-11,
15,6,0555164,-1,44,-5,6559201766504E-11,
16,6,48804456,-1,4,-6,48441300654667E-11,
17,6,92057048,-1,36,-6,18456397205591E-11,
18,7,35310378,-1,32,-6,92068624630338E-11,
19,7,7856421,-1,28,-6,59952092973981E-11,
20,8,21818656,-1,24,-5,74118530494161E-11,
21,8,65071548,-1,2,-6,46878106635995E-11,
22,9,0832534,-1,16,-6,05382410867605E-11,
23,9,51577464,-1,12,-6,90221213517361E-11,
24,9,94832004,-1,08,-6,50857145956252E-11,
25,10,38083962,-1,04,-6,11066752753686E-11,
26,10,8133852,-1,0,-6,54409859635052E-11,
27,11,24591044,-0,96,-5,52802248421358E-11,
28,11,6784428,-0,92,-5,42144107384956E-11,
29,12,1109712,-0,88,-1,43401734931103E-10,
30,12,54352774,-0,84,-4,74074113299139E-11,
31,12,97607514,-0,8,-9,81827952273306E-11,
32,13,40860652,-0,76,-5,28359578311211E-11,
33,13,84112552,-0,72,-6,43183284410043E-11,
34,14,2736697,-0,68,-1,61719526658999E-11,
35,14,70620622,-0,64,-8,33466629046598E-11,
36,15,13874272,-0,6,-6,25135498921736E-11,
37,15,57128072,-0,56,-6,22151219431544E-11,
38,16,00382498,-0,52,-5,63460389457759E-11,
39,16,43637542,-0,48,-7,72217845224077E-11,
40,16,86889884,-0,44,-7,50759454604122E-11,
41,17,30143788,-0,4,-8,10729261502274E-11,
42,17,7339731,-0,36,-7,22053528079414E-11,
43,18,16652142,-0,32,-6,37072616882506E-11,
44,18,59905388,-0,28,2,76671130450268E-10,
45,19,03159454,-0,24,4,60261162515963E-10,
46,19,46413422,-0,2,-8,48103809403256E-10,
47,19,89666268,-0,16,-6,4331118210248E-10,
48,20,32919384,-0,12,4,13777456742537E-10,
49,20,76173038,-0,08,-6,50936726742657E-09,
50,21,19427474,-0,04,-6,40980601929186E-10,
51,21,6268028,0,0,2,17961826365354E-09,
52,22,05964832,0,04,-5,05025354868849E-10,
53,22,4921899,0,08,-2,03357330974541E-11,
54,22,92471466,0,12,-1,21929133456433E-11,
55,23,35723702,0,16,1,80051529241609E-11,
56,23,78979132,0,2,6,43041175862891E-11,
57,24,2223229,0,24,-1,02858166428632E-10,
58,24,65485038,0,28,5,33333377461531E-11,
59,25,08739172,0,32,-1,23634436022257E-12,
60,25,5199212,0,36,6,82973677612608E-11,
61,25,95244708,0,4,4,854427970713E-11,
62,26,38498786,0,44,1,46869183481613E-10,
63,26,81753486,0,48,1,42364342536894E-10,
64,27,2500776,0,52,1,2771295132552E-10,
65,27,68261964,0,56,1,45192302625219E-10,
66,28,11513398,0,6,1,49313450492627E-10,
67,28,54766144,0,64,1,53605128616618E-10,
68,28,98020328,0,68,1,70473413163563E-10,
69,29,41271688,0,72,1,71525016412488E-10,
70,29,84522764,0,76,1,79142034539836E-10,
71,30,27777154,0,8,1,94660287888837E-10,
72,30,7103006,0,84,1,88066451300983E-10,
73,31,14284244,0,88,2,064979298666E-10,
74,31,575377,0,92,2,0963852875866E-10,
75,32,00791294,0,96,2,2193091808731E-10,
76,32,44044248,1,0,2,29732677325956E-10,
77,32,87296994,1,04,2,35232278100739E-10,
78,33,30549748,1,08,-4,9877257879416E-10,
79,33,73802964,1,12,4,88782347929373E-10,
80,34,17055676,1,16,2,43574049818562E-10,
81,34,603079,1,2,2,47339926318091E-10,
82,35,03561852,1,24,2,64705590780068E-10,
83,35,46816488,1,28,2,67405653175956E-10,
84,35,9006845,1,32,2,79854361906473E-10,
85,36,3332132,1,36,2,8175861643831E-10,
86,36,76574512,1,4,2,88707724394044E-10,
87,37,1982772,1,44,2,99792191071901E-10,
88,37,63079682,1,48,3,02350144920638E-10,
89,38,063336,1,52,3,00403257824655E-10,
90,38,49587936,1,56,3,10791392621468E-10,
91,38,928434,1,6,3,11885628434538E-10,
92,39,36095428,1,64,3,29762883666263E-10,
93,39,79349476,1,68,7,37784944249142E-10,
94,40,2260317,1,72,2,38003394770203E-10,
95,40,65855656,1,76,3,78520326194121E-10,
96,41,09108574,1,8,3,28057581100438E-10,
97,41,52363638,1,84,3,3593039461266E-10,
98,41,95617768,1,88,3,49743345395837E-10,
99,42,38869516,1,92,3,67009533874807E-10,
100,42,82123002,1,96,3,63129970537557E-10,
101,43,2537585,2,0,3,39866801368771E-10,
