Distance (µm),O Kα1 (counts),S Kα1 (counts),C Kα1_2 (counts),Si Kα1 (counts),Mo Lα1 (counts),
0,71,3,6,357,3,
0.073101431733515,90,7,2,354,7,
0.14620286346703,77,5,4,350,5,
0.219304295200545,87,6,2,336,6,
0.29240572693406,82,1,2,330,1,
0.365507158667575,70,8,5,352,9,
0.43860859040109,88,5,2,315,5,
0.511710022134605,84,5,3,326,6,
0.58481145386812,81,9,3,331,9,
0.657912885601635,66,0,2,360,1,
0.73101431733515,75,9,4,358,10,
0.804115749068665,92,7,7,338,8,
0.87721718080218,72,12,5,344,12,
0.950318612535695,96,9,6,317,8,
1.02342004426921,81,7,5,338,7,
1.09652147600273,103,9,4,320,10,
1.16962290773624,76,10,4,353,11,
1.24272433946976,83,4,9,332,5,
1.31582577120327,91,7,3,336,9,
1.38892720293679,100,11,6,302,11,
1.4620286346703,93,10,6,323,11,
1.53513006640382,75,8,6,340,7,
1.60823149813733,65,10,4,322,9,
1.68133292987085,73,5,3,360,5,
1.75443436160436,81,8,5,339,8,
1.82753579333788,75,9,2,329,9,
1.90063722507139,74,8,1,314,9,
1.97373865680491,84,9,7,347,10,
2.04684008853842,86,6,4,345,7,
2.11994152027194,77,13,0,366,13,
2.19304295200545,80,8,5,377,7,
2.26614438373897,80,8,4,323,11,
2.33924581547248,75,6,1,341,5,
2.412347247206,83,14,3,326,14,
2.48544867893951,74,11,3,359,9,
2.55855011067303,87,9,5,345,9,
2.63165154240654,87,7,5,309,8,
2.70475297414006,84,9,3,328,10,
2.77785440587357,93,12,2,358,11,
2.85095583760709,71,13,9,362,11,
2.9240572693406,74,8,7,310,8,
2.99715870107412,85,8,3,312,7,
3.07026013280763,84,9,9,351,9,
3.14336156454115,81,11,2,340,10,
3.21646299627466,81,2,5,373,2,
3.28956442800818,88,4,5,361,5,
3.36266585974169,72,2,3,345,2,
3.43576729147521,83,1,0,378,1,
3.50886872320872,78,1,0,379,1,
3.58197015494224,82,2,3,348,2,
