No.;Distance [µm];Name;Time [ms];Z Pos;X Pos;Y Pos;Blue(1);Green(1);Red(1)
1;0;A1_whitebalance.tif;28085622,77;0;0;0;107;16;23
2;0,034;A1_whitebalance.tif;28085622,77;0;0;0;108;16;23
3;0,068;A1_whitebalance.tif;28085622,77;0;0;0;104;16;22
4;0,102;A1_whitebalance.tif;28085622,77;0;0;0;104;16;21
5;0,136;A1_whitebalance.tif;28085622,77;0;0;0;105;17;23
6;0,17;A1_whitebalance.tif;28085622,77;0;0;0;105;16;24
7;0,204;A1_whitebalance.tif;28085622,77;0;0;0;105;17;23
8;0,238;A1_whitebalance.tif;28085622,77;0;0;0;108;16;21
9;0,273;A1_whitebalance.tif;28085622,77;0;0;0;107;16;22
10;0,307;A1_whitebalance.tif;28085622,77;0;0;0;105;16;22
11;0,341;A1_whitebalance.tif;28085622,77;0;0;0;105;17;21
12;0,375;A1_whitebalance.tif;28085622,77;0;0;0;105;17;21
13;0,409;A1_whitebalance.tif;28085622,77;0;0;0;104;17;21
14;0,443;A1_whitebalance.tif;28085622,77;0;0;0;108;16;21
15;0,477;A1_whitebalance.tif;28085622,77;0;0;0;109;16;21
16;0,511;A1_whitebalance.tif;28085622,77;0;0;0;108;16;20
17;0,545;A1_whitebalance.tif;28085622,77;0;0;0;109;16;21
18;0,579;A1_whitebalance.tif;28085622,77;0;0;0;104;16;21
19;0,613;A1_whitebalance.tif;28085622,77;0;0;0;105;16;21
20;0,647;A1_whitebalance.tif;28085622,77;0;0;0;105;16;21
21;0,681;A1_whitebalance.tif;28085622,77;0;0;0;104;17;20
22;0,715;A1_whitebalance.tif;28085622,77;0;0;0;103;17;21
23;0,749;A1_whitebalance.tif;28085622,77;0;0;0;103;16;22
24;0,784;A1_whitebalance.tif;28085622,77;0;0;0;103;16;21
25;0,818;A1_whitebalance.tif;28085622,77;0;0;0;103;15;21
26;0,852;A1_whitebalance.tif;28085622,77;0;0;0;102;16;20
27;0,886;A1_whitebalance.tif;28085622,77;0;0;0;102;17;20
28;0,92;A1_whitebalance.tif;28085622,77;0;0;0;98;16;21
29;0,954;A1_whitebalance.tif;28085622,77;0;0;0;100;16;21
30;0,988;A1_whitebalance.tif;28085622,77;0;0;0;103;16;21
31;1 022;A1_whitebalance.tif;28085622,77;0;0;0;103;15;20
32;1 056;A1_whitebalance.tif;28085622,77;0;0;0;103;15;21
33;1,09;A1_whitebalance.tif;28085622,77;0;0;0;107;15;20
34;1 124;A1_whitebalance.tif;28085622,77;0;0;0;108;16;21
35;1 158;A1_whitebalance.tif;28085622,77;0;0;0;109;16;21
36;1 192;A1_whitebalance.tif;28085622,77;0;0;0;100;15;21
37;1 226;A1_whitebalance.tif;28085622,77;0;0;0;92;15;21
38;1,26;A1_whitebalance.tif;28085622,77;0;0;0;94;16;21
39;1 295;A1_whitebalance.tif;28085622,77;0;0;0;94;16;20
40;1 329;A1_whitebalance.tif;28085622,77;0;0;0;102;16;20
41;1 363;A1_whitebalance.tif;28085622,77;0;0;0;109;15;20
42;1 397;A1_whitebalance.tif;28085622,77;0;0;0;108;15;20
43;1 431;A1_whitebalance.tif;28085622,77;0;0;0;105;15;21
44;1 465;A1_whitebalance.tif;28085622,77;0;0;0;107;15;21
45;1 499;A1_whitebalance.tif;28085622,77;0;0;0;107;17;21
46;1 533;A1_whitebalance.tif;28085622,77;0;0;0;103;16;20
47;1 567;A1_whitebalance.tif;28085622,77;0;0;0;100;15;20
48;1 601;A1_whitebalance.tif;28085622,77;0;0;0;102;15;20
49;1 635;A1_whitebalance.tif;28085622,77;0;0;0;99;15;21
50;1 669;A1_whitebalance.tif;28085622,77;0;0;0;102;15;21
51;1 703;A1_whitebalance.tif;28085622,77;0;0;0;104;15;21
52;1 737;A1_whitebalance.tif;28085622,77;0;0;0;102;16;21
53;1 771;A1_whitebalance.tif;28085622,77;0;0;0;99;16;21
54;1 806;A1_whitebalance.tif;28085622,77;0;0;0;97;15;20
55;1,84;A1_whitebalance.tif;28085622,77;0;0;0;102;15;19
56;1 874;A1_whitebalance.tif;28085622,77;0;0;0;104;15;20
57;1 908;A1_whitebalance.tif;28085622,77;0;0;0;107;15;21
58;1 942;A1_whitebalance.tif;28085622,77;0;0;0;108;15;21
59;1 976;A1_whitebalance.tif;28085622,77;0;0;0;105;15;20
60;2,01;A1_whitebalance.tif;28085622,77;0;0;0;102;16;19
61;2 044;A1_whitebalance.tif;28085622,77;0;0;0;102;15;19
62;2 078;A1_whitebalance.tif;28085622,77;0;0;0;99;15;20
63;2 112;A1_whitebalance.tif;28085622,77;0;0;0;103;15;20
64;2 146;A1_whitebalance.tif;28085622,77;0;0;0;105;15;20
65;2,18;A1_whitebalance.tif;28085622,77;0;0;0;108;15;19
66;2 214;A1_whitebalance.tif;28085622,77;0;0;0;108;15;18
67;2 248;A1_whitebalance.tif;28085622,77;0;0;0;107;16;19
68;2 282;A1_whitebalance.tif;28085622,77;0;0;0;104;16;20
69;2 317;A1_whitebalance.tif;28085622,77;0;0;0;103;16;20
70;2 351;A1_whitebalance.tif;28085622,77;0;0;0;99;16;20
71;2 385;A1_whitebalance.tif;28085622,77;0;0;0;99;15;21
72;2 419;A1_whitebalance.tif;28085622,77;0;0;0;102;15;21
73;2 453;A1_whitebalance.tif;28085622,77;0;0;0;104;15;21
74;2 487;A1_whitebalance.tif;28085622,77;0;0;0;104;16;20
75;2 521;A1_whitebalance.tif;28085622,77;0;0;0;104;16;20
76;2 555;A1_whitebalance.tif;28085622,77;0;0;0;107;16;20
77;2 589;A1_whitebalance.tif;28085622,77;0;0;0;108;15;19
78;2 623;A1_whitebalance.tif;28085622,77;0;0;0;104;15;20
79;2 657;A1_whitebalance.tif;28085622,77;0;0;0;100;15;20
